"seconds"	"size"
"1"	13.59	"wholegallon"
"2"	11.72	"wholegallon"
"3"	12.29	"wholegallon"
"4"	14.87	"wholegallon"
"5"	9.53	"wholegallon"
"6"	12.81	"wholegallon"
"7"	10.26	"wholegallon"
"8"	10.11	"wholegallon"
"9"	8.56	"wholegallon"
"10"	16.35	"wholegallon"
"11"	12.83	"wholegallon"
"12"	9.95	"wholegallon"
"13"	10.37	"wholegallon"
"14"	12.44	"wholegallon"
"15"	14.78	"wholegallon"
"16"	14.16	"wholegallon"
"17"	12.79	"wholegallon"
"18"	9.18	"wholegallon"
"19"	11.09	"wholegallon"
"20"	9.81	"wholegallon"
"21"	6.36	"wholegallon"
"22"	14.99	"wholegallon"
"23"	14.63	"wholegallon"
"24"	10.85	"wholegallon"
"25"	13.65	"wholegallon"
"26"	12.19	"wholegallon"
"27"	12.14	"wholegallon"
"28"	11.59	"wholegallon"
"29"	13.2	"wholegallon"
"30"	12.47	"wholegallon"
"31"	12.76	"wholegallon"
"32"	11.22	"wholegallon"
"33"	11.31	"wholegallon"
"34"	13.36	"wholegallon"
"35"	14.48	"wholegallon"
"36"	13.28	"wholegallon"
"37"	14.17	"wholegallon"
"38"	13.68	"wholegallon"
"39"	13.42	"wholegallon"
"40"	10.57	"wholegallon"
"41"	9.87	"halfgallon"
"42"	9.89	"halfgallon"
"43"	10.34	"halfgallon"
"44"	9.27	"halfgallon"
"45"	10.75	"halfgallon"
"46"	9.41	"halfgallon"
"47"	10	"halfgallon"
"48"	10.69	"halfgallon"
"49"	10.24	"halfgallon"
"50"	9.62	"halfgallon"
"51"	9.7	"halfgallon"
"52"	10.19	"halfgallon"
"53"	11.04	"halfgallon"
"54"	10.13	"halfgallon"
"55"	9.53	"halfgallon"
"56"	9.37	"halfgallon"
"57"	11.34	"halfgallon"
"58"	10.18	"halfgallon"
"59"	10.01	"halfgallon"
"60"	10.63	"halfgallon"
"61"	10.21	"halfgallon"
"62"	9.69	"halfgallon"
"63"	10.28	"halfgallon"
"64"	10.38	"halfgallon"
"65"	8.51	"halfgallon"
"66"	10.89	"halfgallon"
"67"	9.12	"halfgallon"
"68"	8.61	"halfgallon"
"69"	10.1	"halfgallon"
"70"	9.24	"halfgallon"
"71"	9.96	"halfgallon"
"72"	10.64	"halfgallon"
"73"	10.74	"halfgallon"
"74"	9.74	"halfgallon"
"75"	9.62	"halfgallon"
"76"	10.48	"halfgallon"
"77"	10.08	"halfgallon"
"78"	9.58	"halfgallon"
"79"	10.04	"halfgallon"
"80"	9.29	"halfgallon"
